#HQF Implant Mapping Table,,,,,,,,,,
#Affecting Attribute,Affecting Type,Affecting ID,Affected Attribute,Affected Type,Affected ID,Calc Type,State,IsGang,Group,Implant Name
292,1,13226,114;116;117;118,2,386;656,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMU1000
292,1,27258,114;116;117;118,2,386;656,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMU2000
292,1,27259,114;116;117;118,2,386;656,0,0,0,Missiles,Hardwiring - Zainou 'Snapshot' ZMU500
317,1,27213,6,4,600,0,0,0,Shield,Hardwiring - Zainou 'Sprite' KXX1000
317,1,27215,6,4,600,0,0,0,Shield,Hardwiring - Zainou 'Sprite' KXX2000
317,1,27214,6,4,600,0,0,0,Shield,Hardwiring - Zainou 'Sprite' KXX500
1083,1,22760,265,3,6,0,0,0,Armor,Imperial Special Ops Field Enhancer - Standard
309,1,21889,76,3,6,0,0,1,Electronics,Information Warfare Mindlink
884,1,21889,833,1,20406;20405;11052,0,0,1,Gang,Information Warfare Mindlink
#,1,,,,,,0,0,Learning,#Limited Cybernetic Subprocessor
#,1,,,,,,0,0,Learning,#Limited Cybernetic Subprocessor - Beta
#,1,,,,,,0,0,Learning,#Limited Memory Augmentation
#,1,,,,,,0,0,Learning,#Limited Memory Augmentation - Beta
#,1,,,,,,0,0,Learning,#Limited Neural Boost
#,1,,,,,,0,0,Learning,#Limited Neural Boost - Beta
#,1,,,,,,0,0,Learning,#Limited Ocular Filter
#,1,,,,,,0,0,Learning,#Limited Ocular Filter - Beta
#,1,,,,,,0,0,Learning,#Limited Social Adaptation Chip
#,1,,,,,,0,0,Learning,#Limited Social Adaptation Chip - Beta
294,1,28790,54,2,201;208;291;379,0,0,0,Electronics;Learning,Low-grade Centurion Alpha
294,1,28791,54,2,201;208;291;379,0,0,0,Electronics;Learning,Low-grade Centurion Beta
294,1,28792,54,2,201;208;291;379,0,0,0,Electronics;Learning,Low-grade Centurion Delta
294,1,28793,54,2,201;208;291;379,0,0,0,Electronics;Learning,Low-grade Centurion Epsilon
294,1,28794,54,2,201;208;291;379,0,0,0,Electronics;Learning,Low-grade Centurion Gamma
#,1,28795,,,,,0,0,Science,#Low-grade Centurion Omega
548,1,22107,68,2,40,0,0,0,Shield;Learning,Low-grade Crystal Alpha
548,1,22108,68,2,40,0,0,0,Shield;Learning,Low-grade Crystal Beta
548,1,22109,68,2,40,0,0,0,Shield;Learning,Low-grade Crystal Delta
548,1,22110,68,2,40,0,0,0,Shield;Learning,Low-grade Crystal Epsilon
548,1,22111,68,2,40,0,0,0,Shield;Learning,Low-grade Crystal Gamma
#,1,22112,,,,,0,0,Science,#Low-grade Crystal Omega
#,1,28814,,,,,0,0,Science;Learning,#Low-grade Edge Alpha
#,1,28815,,,,,0,0,Science;Learning,#Low-grade Edge Beta
#,1,28816,,,,,0,0,Science;Learning,#Low-grade Edge Delta
#,1,28817,,,,,0,0,Science;Learning,#Low-grade Edge Epsilon
#,1,28818,,,,,0,0,Science;Learning,#Low-grade Edge Gamma
#,1,28819,,,,,0,0,Science,#Low-grade Edge Omega
554,1,22113,552,3,6,0,0,0,Electronics;Learning,Low-grade Halo Alpha
554,1,22114,552,3,6,0,0,0,Electronics;Learning,Low-grade Halo Beta
554,1,22115,552,3,6,0,0,0,Electronics;Learning,Low-grade Halo Delta
554,1,22116,552,3,6,0,0,0,Electronics;Learning,Low-grade Halo Epsilon
554,1,22117,552,3,6,0,0,0,Electronics;Learning,Low-grade Halo Gamma
#,1,22118,,,,,0,0,Science,#Low-grade Halo Omega
243,1,28802,54,2,54;464;483,0,0,0,Industry;Learning,Low-grade Harvest Alpha
243,1,28803,54,2,54;464;483,0,0,0,Industry;Learning,Low-grade Harvest Beta
243,1,28804,54,2,54;464;483,0,0,0,Industry;Learning,Low-grade Harvest Delta
243,1,28805,54,2,54;464;483,0,0,0,Industry;Learning,Low-grade Harvest Epsilon
243,1,28806,54,2,54;464;483,0,0,0,Industry;Learning,Low-grade Harvest Gamma
#,1,28807,,,,,0,0,Science,#Low-grade Harvest Omega
151,1,28796,70,3,6,0,0,0,Navigation;Learning,Low-grade Nomad Alpha
151,1,28797,70,3,6,0,0,0,Navigation;Learning,Low-grade Nomad Beta
151,1,28798,70,3,6,0,0,0,Navigation;Learning,Low-grade Nomad Delta
151,1,28799,70,3,6,0,0,0,Navigation;Learning,Low-grade Nomad Epsilon
151,1,28800,70,3,6,0,0,0,Navigation;Learning,Low-grade Nomad Gamma
#,1,28801,,,,,0,0,Science,#Low-grade Nomad Omega
335,1,22119,265,3,6,0,0,0,Armor;Learning,Low-grade Slave Alpha
335,1,22119,1159,2,329,0,0,0,Armor;Learning,Low-grade Slave Alpha
335,1,22120,265,3,6,0,0,0,Armor;Learning,Low-grade Slave Beta
335,1,22120,1159,2,329,0,0,0,Armor;Learning,Low-grade Slave Beta
335,1,22121,265,3,6,0,0,0,Armor;Learning,Low-grade Slave Delta
335,1,22121,1159,2,329,0,0,0,Armor;Learning,Low-grade Slave Delta
335,1,22122,265,3,6,0,0,0,Armor;Learning,Low-grade Slave Epsilon
335,1,22122,1159,2,329,0,0,0,Armor;Learning,Low-grade Slave Epsilon
335,1,22123,265,3,6,0,0,0,Armor;Learning,Low-grade Slave Gamma
335,1,22123,1159,2,329,0,0,0,Armor;Learning,Low-grade Slave Gamma
#,1,22124,,,,,0,0,Science,#Low-grade Slave Omega
315,1,22125,37,3,6,0,0,0,Navigation;Learning,Low-grade Snake Alpha
315,1,22126,37,3,6,0,0,0,Navigation;Learning,Low-grade Snake Beta
315,1,22127,37,3,6,0,0,0,Navigation;Learning,Low-grade Snake Delta
315,1,22128,37,3,6,0,0,0,Navigation;Learning,Low-grade Snake Epsilon
315,1,22129,37,3,6,0,0,0,Navigation;Learning,Low-grade Snake Gamma
#,1,22130,,,,,0,0,Science,#Low-grade Snake Omega
66,1,22131,73,5,3423,0,0,0,Engineering;Learning,Low-grade Talisman Alpha
66,1,22133,73,5,3423,0,0,0,Engineering;Learning,Low-grade Talisman Beta
66,1,22134,73,5,3423,0,0,0,Engineering;Learning,Low-grade Talisman Delta
66,1,22135,73,5,3423,0,0,0,Engineering;Learning,Low-grade Talisman Epsilon
66,1,22136,73,5,3423,0,0,0,Engineering;Learning,Low-grade Talisman Gamma
#,1,22137,,,,,0,0,Science,#Low-grade Talisman Omega
846,1,28808,208;209;210;211,2,479,0,0,0,Science;Learning,Low-grade Virtue Alpha
846,1,28809,208;209;210;211,2,479,0,0,0,Science;Learning,Low-grade Virtue Beta
846,1,28810,208;209;210;211,2,479,0,0,0,Science;Learning,Low-grade Virtue Delta
846,1,28811,208;209;210;211,2,479,0,0,0,Science;Learning,Low-grade Virtue Epsilon
846,1,28812,208;209;210;211,2,479,0,0,0,Science;Learning,Low-grade Virtue Gamma
#,1,28813,,,,,0,0,Science,#Low-grade Virtue Omega
#,1,,,,,,0,0,Learning,#Memory Augmentation - Advanced
#,1,,,,,,0,0,Learning,#Memory Augmentation - Basic
#,1,,,,,,0,0,Learning,#Memory Augmentation - Elite
#,1,,,,,,0,0,Learning,#Memory Augmentation - Improved
#,1,,,,,,0,0,Learning,#Memory Augmentation - Standard
434,1,20700,77,4,1039;464;1040,0,0,0,Industry,Michi's Excavation Augmentor
434,1,22559,77,2,54;464;483,0,0,1,Industry,Mining Foreman Mindlink
884,1,22559,833,1,22553;22555;22557,0,0,1,Gang,Mining Foreman Mindlink
#,1,,,,,,0,0,Learning,#Neural Boost - Advanced
#,1,,,,,,0,0,Learning,#Neural Boost - Basic
#,1,,,,,,0,0,Learning,#Neural Boost - Elite
#,1,,,,,,0,0,Learning,#Neural Boost - Improved
#,1,,,,,,0,0,Learning,#Neural Boost - Standard
312,1,20358,73,4,1049;1050;1051;1053;1054;1055,0,0,0,Armor;Hull,Numon Family Heirloom
#,1,,,,,,0,0,Learning,#Ocular Filter - Advanced
#,1,,,,,,0,0,Learning,#Ocular Filter - Basic
#,1,,,,,,0,0,Learning,#Ocular Filter - Elite
#,1,,,,,,0,0,Learning,#Ocular Filter - Improved
#,1,,,,,,0,0,Learning,#Ocular Filter - Standard
767,1,20443,160,2,53;55;74,0,0,0,Gunnery,Ogdin's Eye Coordination Enhancer
441,1,25868,10011;10012;10013,2,53;55;74,0,0,0,Gunnery,Pashan's Turret Customization Mindlink
292,1,25867,10014,4,569,0,0,0,Gunnery,Pashan's Turret Handling Mindlink
1084,1,22715,37,3,6,0,0,0,Navigation,Republic Special Ops Field Enhancer - Gamma
1076,1,24669,37,3,6,0,0,0,Navigation,Shaqil's Speed Enhancer
337,1,21888,263,3,6,0,0,1,Shield,Siege Warfare Mindlink
884,1,21888,833,1,20124;22228;20514,0,0,1,Gang,Siege Warfare Mindlink
315,1,21890,37,3,6,0,0,1,Navigation,Skirmish Warfare Mindlink
884,1,21890,833,2,20070;11017;20408,0,0,1,Gang,Skirmish Warfare Mindlink
335,1,20499,265,3,6,0,0,0,Armor;Learning,Slave Alpha
335,1,20499,1159,2,329,0,0,0,Armor;Learning,Slave Alpha
335,1,20501,265,3,6,0,0,0,Armor;Learning,Slave Beta
335,1,20501,1159,2,329,0,0,0,Armor;Learning,Slave Beta
335,1,20503,265,3,6,0,0,0,Armor;Learning,Slave Delta
335,1,50203,1159,2,329,0,0,0,Armor;Learning,Slave Delta
335,1,20505,265,3,6,0,0,0,Armor;Learning,Slave Epsilon
335,1,20505,1159,2,329,0,0,0,Armor;Learning,Slave Epsilon
335,1,20507,265,3,6,0,0,0,Armor;Learning,Slave Gamma
335,1,20507,1159,2,329,0,0,0,Armor;Learning,Slave Gamma
#,1,20509,,,,,0,0,Science,#Slave Omega
315,1,19540,37,3,6,0,0,0,Navigation;Learning,Snake Alpha
315,1,19551,37,3,6,0,0,0,Navigation;Learning,Snake Beta
315,1,19554,37,3,6,0,0,0,Navigation;Learning,Snake Delta
315,1,19555,37,3,6,0,0,0,Navigation;Learning,Snake Epsilon
315,1,19553,37,3,6,0,0,0,Navigation;Learning,Snake Gamma
#,1,19556,,,,,0,0,Science,#Snake Omega
#,1,,,,,,0,0,Learning,#Social Adaptation Chip - Advanced
#,1,,,,,,0,0,Learning,#Social Adaptation Chip - Basic
#,1,,,,,,0,0,Learning,#Social Adaptation Chip - Improved
#,1,,,,,,0,0,Learning,#Social Adaptation Chip - Standard
66,1,19534,73,5,3423,0,0,0,Engineering;Learning,Talisman Alpha
66,1,19535,73,5,3423,0,0,0,Engineering;Learning,Talisman Beta
66,1,19537,73,5,3423,0,0,0,Engineering;Learning,Talisman Delta
66,1,19538,73,5,3423,0,0,0,Engineering;Learning,Talisman Epsilon
66,1,19536,73,5,3423,0,0,0,Engineering;Learning,Talisman Gamma
#,1,19539,,,,,0,0,Science,#Talisman Omega
293,1,20371,51,2,511;862;524;506;510;771;507;508;501;509,0,0,0,Missiles,Whelan Machorin's Ballistic Smartlink
318,1,24663,20,2,46,0,0,0,Navigation,Zor's Custom Navigation Hyper-Link
66,1,19500,73,4,542,0,0,0,Navigation,Zor's Custom Navigation Link
